,0
0,271.22052
1,249.32164
2,261.77835
3,289.57852
4,298.06384
5,278.96582
6,268.73608
7,278.91147
8,268.32312
9,266.40762
10,263.5207
11,258.13303
12,252.23827
13,236.76259
14,227.40515
15,231.25261
16,232.67363
17,215.21907
18,216.4889
19,219.83577
20,231.65332
21,233.6948
22,241.27065
23,248.8965
24,258.52863
25,222.36166
26,218.78014
27,220.08029
28,225.9431
29,240.35683
30,243.52632
31,228.3335
32,217.00072
33,212.09117
34,212.66026
35,220.99838
36,219.23065
37,230.81615
38,241.69443
39,276.29437
40,308.25314
41,321.6542
42,325.786
43,326.05695
44,325.53967
45,317.7238
46,293.58563
47,280.78513
48,259.25287
49,213.92387
50,199.2002
51,185.82597
52,184.2244
53,186.30742
54,206.64948
55,206.8819
56,182.57623
57,146.23819
58,142.47783
59,140.20491
60,123.28747
61,135.4395
62,135.25476
63,95.50738
64,75.23857
65,76.91381
66,74.92541
67,72.98509
68,69.753426
69,61.07749
70,57.323883
71,49.915806
72,44.476616
73,38.43839
74,32.882988
75,25.701056
76,19.823318
77,17.658558
78,19.494703
79,21.163374
80,21.834093
81,22.381636
82,22.42657
83,20.296503
84,22.567858
85,22.338179
86,20.851269
87,20.113134
88,21.276918
89,24.008846
90,27.117142
91,28.35656
92,25.81119
93,27.624418
94,30.418018
95,31.885498
96,32.604424
97,34.381386
98,32.501377
99,29.770247
100,27.957722
101,26.470999
102,26.94109
103,26.937962
104,27.109564
105,26.680225
106,26.760633
107,27.946188
108,30.159973
109,27.956532
110,31.002117
111,33.60335
112,35.17895
113,34.954456
114,34.719265
115,34.274544
116,34.42413
117,33.356873
118,30.547503
119,25.863503
120,18.29946
121,13.819973
