,0
0,154.78125
1,164.51562
2,188.85938
3,208.34375
4,208.34375
5,222.95312
6,198.59375
7,57.375
8,28.15625
9,-44.875
10,-98.453125
11,-161.75
12,-244.53125
13,-307.84375
14,-400.375
15,-468.54688
16,-551.3281
17,-624.375
18,-668.2031
19,-707.15625
20,-760.71875
21,-804.5469
22,-901.9375
23,-994.46875
24,-1130.8125
25,-1189.25
26,-1237.9531
27,-1286.6562
28,-1315.8594
29,-1374.2969
30,-1432.7344
31,-1461.9531
32,-1535.0
33,-1564.2188
34,-1647.0
35,-1700.5781
36,-1788.2188
37,-1851.5312
38,-1924.5781
39,-2012.2344
40,-2075.5312
41,-2114.5
42,-2177.7969
43,-2304.4062
44,-2377.4531
45,-2382.3281
46,-2431.0156
47,-2479.7188
