,0
0,889.5936
1,916.90643
2,966.30695
3,988.23126
4,1025.4052
5,1038.222
6,1049.6462
7,1033.8298
8,1038.0419
9,1055.705
10,1080.5358
11,1087.6576
12,1125.9534
13,1175.1919
14,1184.6249
15,1230.0521
16,1262.9911
17,1238.8496
18,1194.5355
19,1114.9125
20,1066.9674
21,1070.1433
22,1059.0706
23,1009.16095
24,995.8492
25,959.05383
26,910.37415
27,866.051
28,807.3532
29,713.1426
30,656.7199
31,622.82983
32,581.87164
33,545.6077
34,479.19272
35,469.78644
36,475.71957
37,458.7678
38,515.27655
39,473.87714
40,442.58615
41,381.52762
42,322.4465
43,334.45203
44,342.84903
45,375.04498
46,381.9148
47,403.93918
48,364.59827
49,362.8143
50,321.70322
51,288.90335
52,242.0711
53,226.72295
54,222.46571
55,195.67102
56,106.14615
57,26.437443
58,-54.289387
59,-100.883095
60,-170.74002
61,-216.0675
62,-309.58838
63,-448.13483
64,-590.91595
65,-648.47455
66,-724.66504
67,-783.57477
68,-848.2287
69,-940.7985
70,-1044.6715
71,-1057.4247
72,-1107.9062
73,-1196.6337
74,-1268.468
75,-1363.011
76,-1456.6715
77,-1541.7367
78,-1639.325
79,-1743.8647
80,-1842.7865
81,-1941.7761
82,-2107.6309
83,-2236.812
84,-2407.7935
85,-2523.816
86,-2710.767
87,-2872.8157
88,-2999.7488
89,-3164.1672
90,-3265.3547
91,-3401.248
92,-3528.8435
93,-3642.1226
94,-3658.664
95,-3755.3784
96,-3794.7825
97,-3888.2712
98,-3950.56
99,-4033.63
100,-4084.7507
101,-4147.494
102,-4186.826
103,-4260.2417
104,-4284.541
105,-4323.2334
106,-4250.687
107,-4279.36
108,-4295.001
109,-4341.856
110,-4339.0186
111,-4319.7144
112,-4320.2373
113,-4273.324
114,-4243.682
115,-4212.0083
116,-4162.8154
117,-4111.1626
118,-3999.5234
119,-3966.3315
120,-3914.0073
121,-3871.9724
122,-3831.0103
123,-3804.6267
124,-3765.6584
125,-3730.0344
126,-3701.2805
127,-3647.5818
128,-3591.136
129,-3517.0803
130,-3416.5193
131,-3348.6904
132,-3307.7278
133,-3238.8079
134,-3160.2385
135,-3133.8806
136,-3075.863
140,-2756.753
141,-2607.9265
142,-2591.0464
143,-2516.4373
144,-2451.9187
145,-2408.0503
146,-2390.4502
147,-2345.415
148,-2306.5156
149,-2258.4673
150,-2198.048
151,-2162.9822
152,-2120.5327
153,-2050.573
154,-1966.8092
155,-1904.5709
156,-1840.0248
157,-1775.6233
158,-1727.7649
159,-1706.5647
160,-1683.423
161,-1665.0616
162,-1603.6246
163,-1567.139
164,-1529.7852
165,-1477.7229
166,-1455.6302
167,-1442.4629
168,-1438.4092
169,-1433.2782
170,-1365.0928
171,-1366.0607
172,-1359.9293
173,-1313.5204
174,-1273.4281
175,-1260.7512
176,-1265.3868
177,-1254.5391
178,-1318.7015
179,-1324.3461
180,-1297.0557
181,-1337.6266
182,-1326.1528
183,-1329.3063
184,-1360.5562
185,-1390.171
186,-1377.5482
187,-1373.4401
188,-1380.9541
189,-1416.4702
190,-1428.246
191,-1436.3721
192,-1477.7585
193,-1478.7408
194,-1464.2665
195,-1476.7003
196,-1502.0717
197,-1517.8971
198,-1527.7445
199,-1513.6262
200,-1510.3331
201,-1483.561
202,-1523.244
203,-1544.899
204,-1524.2709
205,-1544.2954
206,-1531.7849
207,-1497.508
208,-1514.9865
209,-1545.6871
210,-1548.2281
211,-1553.733
212,-1576.4465
213,-1573.28
214,-1648.528
215,-1614.1473
216,-1653.1818
217,-1640.0323
218,-1618.3235
219,-1611.404
220,-1623.0402
221,-1635.2078
222,-1613.1155
223,-1641.1001
224,-1611.4761
225,-1592.0466
226,-1664.3092
227,-1689.3695
228,-1721.489
229,-1733.5397
230,-1716.9349
231,-1729.648
232,-1752.3662
233,-1789.1487
234,-1792.2252
235,-1779.8506
236,-1769.3673
237,-1738.184
238,-1772.9971
239,-1795.3726
240,-1807.3016
241,-1809.5768
242,-1819.7399
243,-1800.86
244,-1813.4241
245,-1816.5593
246,-1832.4791
247,-1837.1643
248,-1831.7495
249,-1831.0558
250,-1841.2369
251,-1859.4182
252,-1863.0092
253,-1864.8423
254,-1888.1863
255,-1886.213
256,-1873.1631
257,-1864.8563
258,-1857.7748
259,-1866.2393
260,-1855.657
261,-1842.6648
262,-1796.86
263,-1780.7909
264,-1756.3788
265,-1743.0944
266,-1717.6061
267,-1658.8402
268,-1661.4391
269,-1606.6421
270,-1575.3519
271,-1533.281
272,-1466.915
273,-1430.2413
274,-1389.3108
275,-1359.0066
276,-1293.2219
277,-1269.9948
278,-1207.0669
279,-1165.3431
280,-1144.963
281,-1129.9707
282,-1108.7122
283,-1076.7183
284,-1041.9193
285,-1038.9777
286,-1048.1759
287,-1052.8832
288,-1003.68274
289,-1028.0985
290,-996.7491
291,-989.1048
292,-970.72455
293,-968.7608
294,-984.70776
295,-973.72534
296,-971.25665
297,-977.518
298,-921.05334
299,-931.8834
300,-903.4037
