,0
0,0.63848835
1,0.6539007
2,0.64595664
3,0.62862426
4,0.63600606
5,0.62095755
6,0.6187463
7,0.637357
8,0.6263615
9,0.6357166
10,0.65629953
11,0.647835
12,0.66240853
13,0.6419082
14,0.60342306
15,0.57241064
16,0.57479656
17,0.5796783
18,0.59224707
19,0.5780015
20,0.56711495
21,0.58151597
22,0.5625639
23,0.5741162
24,0.5803817
25,0.5568892
26,0.55852425
27,0.5689114
28,0.6115697
29,0.6438397
30,0.6642465
31,0.711765
32,0.80271184
33,0.8811498
34,0.92666787
35,0.96959317
36,0.9693531
37,0.97589666
38,0.96905446
39,0.96318823
40,0.94245714
41,0.91683936
42,0.9099026
43,0.90113884
44,0.8806848
45,0.8772983
46,0.87506956
47,0.87756616
48,0.87471354
49,0.87587804
50,0.88053226
51,0.89537776
52,0.9035607
53,0.91929066
54,0.9208166
