,0
0,0.34446055
1,0.38404238
2,0.38747162
3,0.3886711
4,0.40995854
5,0.41502059
6,0.41589805
7,0.4055145
8,0.38258857
9,0.37026218
10,0.34264964
11,0.31662607
12,0.33318946
13,0.36116952
14,0.3828169
15,0.41935804
16,0.42352095
17,0.42679834
18,0.40103513
19,0.40545127
20,0.39045063
21,0.39481312
22,0.39750028
23,0.40571457
24,0.41660622
25,0.41490442
26,0.4182477
27,0.42085126
28,0.41059014
29,0.41906396
30,0.42067736
31,0.409233
32,0.40145186
33,0.38356152
34,0.37400398
35,0.3443798
36,0.3270578
37,0.32025635
38,0.332649
39,0.3409985
40,0.32170278
41,0.31132466
42,0.25620884
43,0.2860426
44,0.3061325
45,0.33943093
46,0.3594273
47,0.36802
48,0.3777354
49,0.39038935
50,0.4050584
51,0.41509667
52,0.42362967
53,0.43627143
54,0.44046035
55,0.43611863
56,0.4281871
57,0.42130193
58,0.42789784
59,0.42371413
60,0.42076957
61,0.4209415
62,0.42568845
