,0
0,3.420618
1,4.487852
2,6.3147507
3,8.246336
4,10.899599
5,7.3717957
6,6.231373
7,3.9042091
87,3.1426926
88,3.515112
89,3.945898
90,3.8217564
91,3.6012688
92,2.943512
93,2.2755642
94,2.329296
95,2.6516895
96,2.924057
97,3.1371326
98,3.1788216
99,3.3492832
100,3.6003437
101,3.379856
102,3.0018768
103,2.7832413
104,2.7545223
105,2.6220436
106,2.43676
107,2.5664597
108,2.5331078
109,2.6794815
110,2.8314152
111,2.7044964
112,2.935173
113,3.005581
114,3.511406
115,3.96072
116,3.480835
117,2.879589
118,2.4423199
119,2.323738
120,2.5358868
121,1.837368
122,1.2046223
123,0.5968914
124,0.4736786
125,0.62561035
126,1.0758514
127,0.62005234
128,0.56261444
129,0.5459385
130,0.31433487
131,0.99154663
132,0.78310204
133,1.1379204
134,0.96097374
135,0.95170975
136,0.77383804
137,0.39122772
138,0.3282299
139,0.69787216
140,0.6932392
141,0.23095703
142,0.22817612
143,0.3884468
144,0.7627201
145,1.3760109
146,1.0767765
147,0.8229389
148,0.6987972
149,1.0795555
150,1.1620083
151,1.5297966
152,1.4390068
153,1.2917061
154,1.2157402
155,0.82849693
156,1.1397743
