,0
0,20.081335
1,20.194145
2,20.734722
3,21.15719
4,21.715939
5,21.896132
6,21.447165
7,21.095108
8,21.268486
9,21.219273
10,21.799221
11,21.441107
12,19.213686
13,18.69885
14,19.125103
15,21.103436
16,21.369938
17,22.906116
18,25.316002
19,22.646427
20,26.818867
21,29.421059
22,29.250708
23,31.244938
24,31.178314
25,30.646065
26,31.216927
27,32.040665
28,31.808987
29,29.961636
30,27.731186
31,26.781012
32,25.949703
33,26.435013
34,28.230879
35,27.18001
36,28.506468
37,27.469227
38,26.444855
39,25.920177
40,25.77481
41,25.703642
42,24.796623
43,25.559034
44,25.655188
45,25.359158
46,24.415796
47,24.882177
48,24.6664
49,24.570248
50,24.343115
51,25.112339
52,24.55662
53,23.168077
54,23.291487
55,23.643543
56,23.430796
57,23.972887
58,25.144138
59,26.594006
60,27.189095
61,27.80084
62,28.43303
63,28.991776
64,30.1282
65,30.954966
66,31.469044
67,31.385004
68,31.40469
69,29.343075
70,30.081259
71,29.845798
72,29.452858
73,29.249195
74,29.377146
75,29.679234
76,29.1114
77,29.486927
78,30.365175
79,31.911198
80,32.476
81,33.245983
82,34.855602
83,35.876186
84,36.629513
85,36.466736
86,37.101192
