,0
0,15.480438
1,13.537098
2,13.3686905
3,12.8768425
4,13.376709
5,13.307209
6,12.582798
7,12.374298
8,11.331791
9,13.772327
10,12.711109
11,14.683857
12,14.972549
13,12.275394
14,15.218475
15,18.140175
16,18.754986
17,20.623486
18,20.348156
19,19.39653
20,18.795082
21,17.330227
22,17.255379
23,17.220627
24,17.116379
25,18.321945
26,18.431541
27,18.134827
28,17.961075
29,17.576149
30,16.913223
31,17.004108
32,18.39412
33,18.402138
34,18.902008
35,18.303234
36,19.142586
37,19.658493
38,20.297367
39,20.807926
40,20.97366
41,21.420067
42,22.417137
43,22.756615
44,23.283218
45,23.676163
46,24.0103
