,0
0,12.866962
1,13.169301
2,13.977042
3,13.6071205
4,14.093011
5,14.273977
6,14.756653
7,15.197461
8,15.220714
9,15.693785
10,15.084115
11,14.890587
12,14.763409
13,14.8165245
14,13.652645
15,13.7065115
16,12.820347
17,12.708507
18,14.078579
19,14.879912
20,15.138831
21,15.496373
22,14.960563
23,15.388613
24,15.444294
25,15.657961
26,15.676517
27,15.530751
28,16.055878
29,16.280306
30,16.408602
31,16.494486
32,16.775942
33,16.817848
34,16.673357
35,15.99753
36,15.6403475
37,15.006342
38,14.885112
39,14.260611
40,14.939146
41,14.897094
42,14.6873865
43,14.491972
44,14.496083
45,14.144657
46,14.239139
47,14.499774
48,14.55043
49,14.8039055
50,15.813576
51,16.552664
52,17.387234
53,17.761885
54,18.068525
55,18.303135
