,0
0,-2.5614395
1,-2.46772
2,-4.2398567
3,-5.8273964
4,-5.2878036
5,-4.123417
6,-5.1969223
7,-5.424122
8,-6.3300705
9,-5.7535553
10,-8.908756
11,-8.017006
12,-13.20562
13,-12.171875
14,-9.647144
15,-12.410431
16,-13.95253
17,-14.435322
18,-10.655334
19,-20.609404
20,-24.270115
21,-16.24722
22,-19.834093
23,-17.590523
24,-21.100718
25,-17.388885
26,-16.014343
27,-19.885212
28,-19.27178
29,-17.394566
30,-10.700771
31,-11.027367
32,-11.155167
33,-6.30167
34,-0.048072815
35,1.9427414
36,5.398979
37,4.34251
38,5.6062965
39,2.3261375
40,-5.540558
41,-10.217979
42,-5.3900414
43,-4.924286
44,-3.2856293
45,-4.0950203
46,-5.938156
47,-6.2533913
48,-10.217979
49,-9.738026
50,-9.084835
51,-9.422791
52,-7.9999695
53,-9.133114
54,-8.954197
55,-7.585335
56,-7.346775
57,-8.093685
58,-8.3010025
59,-11.60104
60,-8.775276
61,-7.0627785
62,-6.5828247
63,-6.778782
64,-7.468895
65,-3.759903
66,-2.8653145
67,-1.1556587
68,-0.43998718
69,-0.093509674
70,3.842678
71,-3.8110237
72,-8.931477
73,-17.826239
74,-18.036396
75,-15.869505
76,-11.248886
77,-9.5988655
78,-16.712975
79,-15.741707
80,-10.87685
81,-6.0205116
82,-3.8678207
