,0
0,196.34177
1,215.57573
2,223.05074
3,230.69751
4,241.68489
5,247.94757
6,245.11499
7,254.23193
8,248.64037
9,264.1803
10,270.27576
11,275.7688
12,277.71887
13,281.9833
14,285.56467
15,279.82812
16,271.5993
17,270.20248
18,276.798
19,276.36542
20,280.01028
21,278.70065
22,286.19986
23,294.74893
24,302.16458
25,315.56223
26,323.43945
27,323.04855
28,341.95715
29,339.8269
30,336.50363
31,339.13977
32,328.85864
33,330.11847
34,335.15588
35,334.39706
36,341.80957
37,334.25278
38,339.80377
39,348.8248
40,362.48758
41,365.2586
42,368.63562
43,355.99313
44,363.58148
45,366.35294
46,371.98776
47,385.46243
48,403.17853
49,403.98233
50,415.35007
51,433.0206
52,442.90283
53,427.7705
54,421.65408
55,413.49338
56,423.33185
57,410.3876
58,420.6663
59,461.25958
60,475.4058
61,495.51395
62,519.40063
63,578.16284
64,637.25006
65,704.94543
66,779.507
67,831.258
73,1004.5142
74,1063.0762
76,1119.5625
77,1106.8346
78,1084.1355
79,1089.359
80,1072.2167
81,1056.4078
82,1032.1963
83,1006.22363
84,1020.79456
85,980.6981
86,985.10583
87,944.14594
88,926.22943
89,933.7142
90,929.0492
91,919.59735
92,929.39355
93,914.4001
94,892.08344
95,914.53033
96,879.302
97,845.0717
98,811.06775
99,770.9344
100,763.9801
101,731.7469
102,686.9494
103,690.9693
104,643.9759
105,603.6394
106,561.4152
107,562.8746
108,523.46735
109,490.83383
110,459.68744
111,433.9627
112,427.65848
113,416.58966
114,390.58838
115,374.05255
116,380.5598
117,368.71625
118,379.22012
119,385.96005
152,162.99802
153,174.86829
154,171.66054
155,181.65222
156,189.60736
157,185.02007
158,190.91338
159,198.7
160,187.28856
161,187.37157
162,176.12962
163,190.37708
164,205.05428
165,210.1689
166,226.50296
167,236.61934
168,245.11911
169,261.24268
170,257.81985
171,270.91696
172,278.79642
173,281.75403
174,287.83368
175,300.84207
176,317.4463
177,331.59592
178,343.00024
179,358.6795
180,346.74973
181,359.38797
182,371.39667
183,387.27963
184,373.69296
185,391.67862
186,402.3708
187,419.4115
188,410.0251
189,414.22775
190,418.94302
191,423.43085
192,412.16614
193,416.35928
194,406.9814
195,412.9967
196,404.6334
197,404.47278
198,408.97095
199,399.0908
200,404.39746
201,445.59854
202,446.17392
203,439.6227
204,437.49097
205,408.0653
206,403.00308
207,412.01157
208,397.47083
209,390.09393
210,393.56146
211,400.05
212,417.80258
213,387.13858
214,398.73224
215,374.4312
216,369.4631
217,340.3503
218,337.03967
219,308.45532
220,291.84384
221,267.25952
222,248.31573
223,232.92885
224,215.53598
225,202.9347
226,195.8589
227,177.0847
228,172.43
229,164.77654
230,155.74141
231,151.05878
232,156.51096
233,155.01201
234,172.74226
235,180.08191
236,185.19138
237,199.61798
238,215.77759
239,219.34557
240,231.3679
241,219.17247
242,236.30586
243,220.21968
244,188.13223
245,206.37465
246,214.47575
247,216.28302
248,241.76793
249,240.10718
250,251.39372
251,274.96283
252,285.07468
253,278.05768
254,294.7045
255,294.07095
256,310.6681
257,300.0637
258,279.18164
259,261.01306
260,248.11761
261,209.55965
262,241.54706
263,279.7533
264,309.87027
265,277.45294
266,224.78606
267,192.3157
268,173.86476
269,123.60343
270,126.66494
271,128.35913
272,131.4472
273,130.4027
274,144.36903
275,167.37161
276,165.68643
277,160.31099
278,155.00789
279,153.88489
280,172.18858
281,160.8357
282,162.90385
283,177.06447
284,211.28397
285,236.60963
286,253.66576
287,276.62088
288,271.8083
289,275.23218
290,270.60977
291,255.84453
292,219.40878
293,204.66571
294,203.59712
295,200.0677
296,198.67403
297,199.39127
298,193.40314
299,201.80702
300,204.23756
301,194.32494
302,183.17075
303,182.0994
304,181.67192
305,170.1859
306,169.79143
307,174.884
308,167.00801
309,197.66301
310,177.41454
311,185.37712
312,172.8042
313,172.42358
314,156.34227
315,137.99059
316,127.73343
317,116.38759
318,121.40541
319,126.519905
320,130.88821
321,147.97011
322,135.76128
323,142.58618
324,132.78403
325,115.04821
326,107.300644
327,90.85003
328,99.0434
329,84.26137
330,89.94082
331,75.09063
332,69.04878
333,63.593998
