,0
0,101516.01
1,101551.58
2,101479.45
3,101464.44
4,101437.17
5,101397.26
6,101323.945
7,101236.016
8,101239.77
9,101150.266
10,101017.875
11,100990.41
12,100968.67
13,101009.97
14,100958.99
15,100997.125
16,100976.77
17,100958.99
18,100869.68
19,100744.41
20,100618.14
21,100537.92
22,100505.12
23,100497.02
24,100516.19
25,100555.51
26,100571.91
27,100580.2
28,100587.125
29,100593.64
30,100517.375
31,100463.03
32,100427.86
33,100395.66
34,100407.71
35,100417.78
36,100472.125
37,100501.56
38,100502.35
39,100567.164
40,100514.6
41,100458.09
42,100374.31
43,100252.8
44,100205.375
45,100169.805
46,100213.87
47,100253.98
48,100239.95
49,100249.83
50,100192.73
51,100192.53
52,100215.84
53,100173.56
54,100131.67
55,100112.11
56,100075.36
57,99973.2
58,100018.055
59,100005.805
60,99994.54
61,100008.766
62,100081.484
63,100104.01
64,100110.13
65,100094.72
66,100069.03
67,100098.27
68,100167.63
69,100283.23
70,100422.92
71,100506.7
72,100592.85
73,100653.71
74,100696.39
75,100745.59
76,100804.27
77,100845.18
78,100890.03
79,100959.39
80,101032.695
81,101077.35
82,101170.81
83,101223.17
84,101353.39
85,101455.15
86,101530.234
87,101598.2
88,101533.79
89,101488.54
90,101478.47
91,101466.016
92,101470.37
93,101484.79
94,101554.14
95,101581.414
96,101586.55
97,101540.31
98,101514.625
99,101514.82
100,101498.42
101,101514.625
102,101527.47
103,101504.35
104,101471.35
105,101403.97
106,101328.69
107,101236.81
108,101219.62
109,101115.88
110,100986.26
111,100851.11
112,100705.086
113,100624.664
114,100563.414
115,100519.34
116,100435.17
117,100371.16
118,100252.59
119,100238.57
120,100124.95
121,100041.37
122,99904.63
123,99779.95
124,99623.266
125,99460.05
126,99336.555
127,99200.22
128,99069.21
129,98959.55
130,98725.2
131,98622.055
132,98338.71
133,98114.836
166,98604.87
167,98661.375
168,98684.695
169,98728.164
170,98776.375
171,98807.2
172,98815.9
173,98840.8
175,98901.45
203,99082.84
204,99024.75
205,98972.195
206,98899.28
207,98871.23
208,98832.1
209,98820.05
210,98808.39
211,98812.14
212,98809.375
213,98798.7
214,98753.66
215,98750.69
216,98754.84
217,98749.7
218,98801.27
219,98829.73
220,98834.47
221,98911.336
222,98948.28
223,99039.77
224,99055.58
225,99135.01
226,99154.97
227,99207.13
228,99250.8
229,99344.66
230,99358.88
231,99408.68
232,99421.914
233,99502.53
234,99526.64
235,99580.19
236,99608.836
237,99628.01
238,99637.49
239,99611.41
240,99555.29
241,99576.83
242,99609.83
243,99633.93
244,99663.97
245,99700.125
246,99709.805
247,99794.58
248,99819.87
249,99880.53
250,99908.195
251,99920.445
252,99977.945
253,99979.52
254,100036.83
255,100079.305
256,100099.07
257,100130.484
258,100149.26
259,100178.5
260,100212.29
261,100212.09
262,100300.22
263,100314.05
264,100303.18
265,100315.43
266,100346.26
267,100342.9
268,100379.055
269,100360.875
270,100389.53
271,100420.555
272,100444.06
273,100450.39
274,100524.88
275,100496.82
276,100529.23
277,100537.13
278,100562.03
279,100548.59
280,100590.086
281,100631.19
282,100645.805
