,0
0,-239.12839
1,-235.79828
2,-232.98712
3,-217.26636
4,-205.52441
5,-201.67531
6,-188.09532
7,-189.24141
8,-185.99777
9,-187.1871
10,-162.12468
11,-159.3784
55,-197.00449
56,-205.02707
57,-214.13084
58,-213.26587
59,-221.65607
60,-224.81319
61,-216.98523
62,-198.5398
63,-182.90552
64,-170.49324
65,-150.05838
87,-49.18158
88,-42.218597
89,-36.055695
90,-32.876923
91,-29.914429
92,-51.949463
93,-55.128235
94,-39.256073
95,-45.894684
96,-46.867798
97,-77.293015
98,-101.25261
99,-100.84175
100,-98.83069
101,-108.36696
102,-112.30257
103,-113.145905
104,-98.50633
105,-100.04166
106,-107.78311
107,-107.393875
108,-105.51257
109,-103.242035
110,-100.19302
111,-96.79802
112,-89.986404
113,-91.175735
114,-86.93739
115,-81.66109
116,-86.31029
117,-88.818695
118,-77.83362
119,-80.47177
120,-85.402084
121,-84.12625
122,-87.261765
123,-97.12239
124,-98.80907
125,-95.54382
126,-97.27376
127,-97.07913
128,-99.955154
129,-102.44194
130,-99.9984
131,-98.83069
132,-79.585175
133,-82.374695
134,-80.709625
135,-80.88263
