,0
0,19.497864
1,22.179749
2,30.127808
3,32.346436
4,38.9292
5,38.563477
6,36.442383
7,29.347656
8,25.88562
9,23.203735
10,24.300842
11,23.203735
12,21.545837
13,22.716125
14,24.08142
15,25.129822
16,29.128235
17,35.150208
18,37.149414
19,29.201355
20,37.856445
21,37.83203
22,37.417603
23,34.638184
24,32.955933
25,32.468323
26,31.639404
27,29.469543
28,31.785706
29,33.029114
30,32.760925
31,35.077026
32,34.150574
33,37.295654
34,35.832825
35,16.864807
36,-0.49414062
37,-11.855469
38,-19.26715
39,-20.72998
40,-26.23999
41,-31.140503
42,-25.776794
43,-27.849121
44,-24.752808
45,-19.632874
46,-20.071716
47,-15.195618
48,-18.170044
49,-11.392273
50,-9.49054
51,-8.710388
52,-11.465393
53,-12.586914
54,-11.538513
55,-35.212036
56,-30.409058
57,-33.01776
58,-27.532166
59,-25.069702
60,-23.192444
61,-26.435059
62,-24.07013
63,-24.996582
64,-20.900635
65,-22.582886
66,-20.09607
67,-36.35791
68,-29.531372
69,-27.922241
70,-32.213196
71,-30.530945
72,-28.799927
73,-33.871094
74,-26.947021
75,-22.924255
76,-30.823547
77,-26.288757
78,-23.72882
79,-36.187256
80,-36.0166
81,-47.694855
82,-42.526184
83,-38.747192
84,-33.43225
85,-15.731995
86,-27.678467
87,-23.484985
88,-22.485413
89,-19.632874
90,-17.5849
91,-8.149658
92,-11.294739
93,-14.000977
94,-22.412231
95,-16.926636
96,-13.53772
97,-15.390686
98,-15.415039
99,-18.121277
100,-17.51178
101,-11.684814
102,-2.7858887
103,-5.735962
104,-6.0772705
257,7.1982117
258,6.8947144
259,8.86731
260,7.891876
261,8.433777
262,9.821106
263,9.062408
264,9.105774
265,8.780609
266,8.954041
267,8.845642
268,9.365875
269,6.504547
270,4.878784
271,6.0493164
272,5.2689514
273,2.3209229
274,0.0881958
275,4.7703857
276,5.594116
277,5.594116
278,5.507416
279,5.6157837
280,5.6808167
281,5.507416
282,5.4857483
283,7.1982117
284,6.3311157
285,5.962616
286,5.182251
287,4.705353
288,5.4857483
289,4.531952
290,4.7487183
291,3.5998535
