,0
0,1.3583152
1,1.1899316
2,1.1475897
3,0.9950811
4,0.95594907
5,0.97571784
6,0.8915717
7,1.272909
8,1.1811724
9,2.2292407
10,2.9485521
11,3.4068336
12,3.7041254
13,3.826856
14,3.9731772
15,4.0458927
16,4.0755234
17,4.024182
18,4.1316285
19,3.4307132
20,3.8538544
21,3.8344355
22,3.682312
23,3.5634181
24,3.5310535
25,3.651099
26,3.7116508
27,3.5226367
28,3.9234335
29,6.0160437
30,5.8877883
31,8.259564
32,8.355771
33,8.431354
34,13.664447
35,12.046263
36,14.602248
37,16.507359
38,17.973219
39,18.854374
40,15.941168
41,16.485949
42,13.733791
43,11.919312
44,10.963
45,9.76704
46,25.525602
47,55.09309
48,71.5463
49,67.84763
50,67.24247
51,64.501305
52,60.734062
53,59.3286
54,59.72425
55,62.664402
56,63.284584
57,59.977585
58,48.929604
59,41.622124
60,41.25987
61,45.65029
62,56.271824
63,60.157307
64,87.0697
65,104.94827
66,123.618324
67,148.31232
68,178.20535
69,192.01735
70,194.72215
71,192.30843
72,180.07413
73,171.2465
74,159.22928
75,145.13821
76,137.83148
77,135.31236
78,131.45111
79,132.4286
80,129.37102
81,120.37884
82,107.68346
83,102.11462
84,89.83006
85,82.96695
86,81.87295
87,77.93839
88,76.90472
89,74.073265
90,70.62506
91,55.611053
92,47.95186
93,43.927883
94,45.24337
95,47.788498
96,53.085266
97,59.312103
98,72.98904
99,88.00507
100,100.59378
101,92.72887
102,82.97152
103,70.56917
104,70.6782
105,67.838844
106,60.566914
107,52.189587
108,42.26867
109,39.270264
110,42.749302
111,47.328766
112,49.078014
113,47.944458
114,46.77649
115,45.317665
179,10.651093
180,9.995363
