,0
0,18.104027
1,20.365427
2,19.644373
3,17.990976
4,15.864609
5,17.977076
6,17.884672
7,18.636866
8,21.737194
9,26.039658
10,31.485622
11,36.424095
12,38.342052
13,40.400036
14,42.509724
15,43.07762
16,41.510338
17,40.315735
18,40.472042
19,39.56457
20,37.90289
21,37.015396
22,36.211727
23,33.508423
24,31.537292
25,29.791222
26,28.084394
27,25.654491
28,27.31215
29,26.762001
30,26.133211
31,27.54652
32,28.156187
33,27.952354
34,28.97883
35,28.99221
36,29.002916
37,29.264355
38,28.899628
39,31.287388
40,28.413399
41,29.284365
42,28.171568
