,0
0,-173.12927
1,-192.08876
2,-178.38966
3,-171.31204
4,-152.52911
5,-135.328
6,-110.13695
7,-89.816376
8,-88.425865
9,-84.166046
10,-87.10157
11,-85.74785
12,-86.924995
13,-83.7099
14,-88.84523
15,-92.818115
16,-94.32634
17,-95.75363
18,-95.29013
19,-95.52556
20,-98.14472
21,-108.06958
22,-125.85928
23,-134.70264
24,-140.77968
25,-142.30261
26,-137.04222
27,-124.380486
28,-113.78612
29,-83.09926
30,-80.553665
31,-67.58293
32,-75.70528
33,-95.24599
34,-97.23243
35,-97.725365
36,-96.665924
37,-90.88317
38,-89.04387
39,-85.23284
40,-93.35519
41,-101.47018
42,-102.30154
43,-76.293846
44,-68.55408
45,-78.85416
46,-93.09769
47,-97.23243
48,-90.91995
49,-88.77165
50,-86.71164
51,-91.76604
52,-97.32072
53,-96.20242
54,-91.86168
55,-99.75595
56,-95.260704
57,-82.08396
58,-77.4195
59,-76.81621
60,-69.17944
61,-62.866966
62,-61.87374
63,-68.50258
64,-52.508034
65,-60.085945
66,-68.39222
67,-77.294426
68,-79.369156
69,-108.62872
70,-117.70015
71,-115.98592
72,-132.37039
73,-134.86449
74,-134.96013
75,-126.03586
76,-123.843414
77,-130.62674
78,-130.103
79,-125.62924
80,-122.00226
81,-120.35106
82,-128.94576
83,-122.13633
84,-117.13335
85,-123.3712
86,-116.96399
87,-109.110214
