,0
0,-79.67676
1,-125.835205
2,-129.3706
3,-124.59985
4,-123.05542
5,-131.05249
6,-141.76953
7,-142.97998
8,-130.07349
9,-137.78223
10,-141.18164
11,-140.36108
12,-129.80542
13,-114.84766
14,-99.596924
15,-88.53198
16,-80.711426
17,-63.45215
18,-48.88623
19,-42.2146
20,-30.729248
21,-15.661377
22,-17.34961
23,-16.00586
24,-11.642822
25,-10.999268
26,-12.774414
27,-11.871338
28,-7.2856445
29,-25.676758
30,-34.666504
31,-41.79297
32,-30.865723
33,-42.141113
34,-55.854492
35,-72.361084
36,-65.4624
37,-68.8374
38,-82.586426
39,-107.82129
40,-113.901855
41,-129.01099
42,-128.44385
43,-123.54663
44,-118.03369
45,-117.40234
46,-133.24365
47,-129.25269
48,-170.70752
49,-213.30469
50,-225.47437
51,-249.43066
52,-258.36157
53,-241.10205
54,-232.26685
55,-167.05884
56,-178.55835
57,-219.9978
58,-202.15894
59,-203.9751
60,-187.0415
61,-221.6128
62,-254.67944
63,-298.438
64,-339.1836
65,-378.83984
147,-39.7937
148,-15.345215
149,-14.519287
150,-14.865234
151,-17.4375
152,-21.590332
153,-24.32666
154,-30.845215
155,-28.604004
156,-26.788818
157,-26.442871
158,-29.261963
159,-5.8186035
