,0
0,3.7503052
1,74.90411
2,136.7735
3,171.78284
4,195.31836
5,204.72443
6,200.10248
7,177.37784
8,117.90051
9,63.247864
10,0.4459839
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.7095337
24,90.63501
25,146.92969
26,204.86633
27,230.00333
28,237.86874
29,195.80487
30,166.06622
31,119.33984
32,52.240295
33,3.507019
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,7.8654785
47,75.47174
48,124.934814
49,151.63275
50,176.06018
51,177.84409
52,166.81625
53,129.84058
54,88.749756
55,29.150818
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,5.878845
70,58.74756
71,106.77136
72,142.40906
73,163.1268
74,164.80936
75,140.15894
76,96.77734
77,51.34839
78,1.7839355
