,0
0,255.1759
1,235.45587
2,181.15953
3,94.710075
4,14.493545
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.018144311
19,36.328068
20,157.25409
21,264.1122
22,340.6373
23,359.97852
24,318.6325
25,237.85017
26,118.91635
27,13.137645
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0026301725
41,30.164494
42,124.734215
43,205.82286
44,250.20859
45,237.9641
46,209.00853
47,139.1516
48,53.877625
49,1.4126203
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,2.8103347
65,31.611929
66,67.25987
67,80.538246
68,63.102776
