,0
0,0.0014976375
1,0.0014926977
2,0.0017439183
3,0.001693815
4,0.0016909931
5,0.0016670004
6,0.0016931109
7,0.0018737633
8,0.0020205434
9,0.0022696462
10,0.0025095753
11,0.002178615
12,0.0020939335
13,0.0020156037
14,0.0021532103
15,0.0020325389
16,0.0021242779
17,0.0022103693
18,0.0022287164
19,0.0020953454
20,0.0023705587
21,0.0025102813
22,0.0022569448
23,0.0023225714
24,0.0022033136
25,0.0020332448
26,0.0019005779
27,0.0018328335
28,0.0017926097
29,0.0017333329
30,0.0017792024
31,0.0017784964
32,0.0018652957
33,0.0017587375
34,0.0011716168
35,0.0010996386
36,0.0010537691
37,0.0010890532
38,0.0011582095
39,0.0012174863
40,0.0011878479
41,0.0012887586
42,0.0013776738
43,0.0015223362
44,0.0017721467
45,0.0019231606
46,0.002065001
47,0.0023056362
48,0.002438303
49,0.0024171323
50,0.0024446528
51,0.0022385959
52,0.00204877
53,0.0019640885
54,0.0019605607
55,0.0019704401
56,0.001917515
57,0.0019182209
58,0.0019944329
59,0.0021207482
60,0.0020544156
61,0.0019351561
88,0.00034809485
89,0.00024788827
90,0.000233775
91,0.00014556572
92,0.00012510084
93,0.00013568625
94,0.0001512114
95,0.0002041366
96,0.00022318959
