,0
0,0.1502548
1,0.15183426
2,0.1570946
3,0.15074567
4,0.14871655
5,0.1349413
6,0.12232978
7,0.116798624
8,0.11564809
9,0.120331034
10,0.1172389
11,0.12446377
12,0.11892304
13,0.114105165
14,0.10937619
15,0.113537155
16,0.12790912
17,0.14188397
18,0.1345016
19,0.12489165
20,0.13032389
21,0.16224459
22,0.20291512
23,0.23185496
24,0.23078981
25,0.22433792
26,0.20565327
27,0.17451917
28,0.15258895
29,0.1537622
30,0.16427983
31,0.1742498
32,0.17947994
33,0.20362759
34,0.23746164
35,0.27894485
36,0.25984925
37,0.2134039
38,0.19728553
39,0.20709907
40,0.22317705
41,0.24745972
42,0.23850179
43,0.20429401
44,0.22274329
45,0.284818
46,0.33863685
47,0.40519646
48,0.45436358
49,0.41753528
50,0.41679424
51,0.43414915
52,0.4775715
53,0.5530402
54,0.62654823
55,0.69669724
56,0.8063728
57,1.0141246
58,1.0442057
59,1.1580755
60,1.0962411
61,1.0189838
62,1.0240121
63,1.1422634
64,1.3203285
65,1.3928853
66,1.3091644
67,1.3633013
68,1.4707376
69,1.6022094
70,1.5902508
71,1.3446952
72,1.6538343
73,1.842697
74,1.855388
75,1.8369926
76,1.6702667
77,1.6474429
78,1.7126527
79,1.8688066
80,1.9699559
81,1.89949
82,1.926045
83,2.0747836
84,2.4973407
85,2.357174
86,2.587564
87,2.8788757
88,2.884858
89,2.6135747
90,2.388721
91,2.2725878
92,2.0611954
