,0
0,6.7712765
1,6.6590996
2,6.5095506
3,6.49551
4,6.490495
5,6.529543
6,6.4748926
7,6.584568
8,6.78768
9,6.9492483
10,6.7978134
11,6.897043
12,6.951552
13,6.8484597
14,6.5761704
15,6.181291
16,5.9606576
17,5.7056804
18,5.3496575
19,5.9934773
20,5.8648496
21,5.956409
22,6.1431494
23,6.2184443
24,6.302314
25,6.457576
26,6.719151
27,6.9442887
28,7.132788
29,7.154175
30,7.1960173
31,7.7123346
32,7.7958007
33,7.8771496
34,7.9942393
35,8.1199875
36,8.406716
37,8.780898
38,9.095878
39,9.315034
40,9.460858
41,9.518427
42,9.473948
43,9.178509
44,9.123458
45,9.233387
46,9.362652
47,9.391693
48,9.369128
