,0
0,122.251724
1,124.302185
2,125.45293
3,118.512634
4,122.92651
5,130.0852
6,128.91165
7,127.52621
8,120.279495
9,120.19473
10,123.897964
11,124.302185
12,123.395935
13,125.46922
14,127.99563
15,121.07816
16,116.78165
17,116.96745
18,116.6871
19,117.4271
20,110.96928
21,109.515366
22,110.81932
23,111.62777
24,113.28379
25,113.62933
26,110.58461
27,110.22276
28,111.76143
29,110.398796
30,114.64642
31,116.91856
32,113.45982
33,115.24624
34,113.38811
35,102.020905
36,104.79506
37,109.36542
38,114.1933
39,117.322784
40,119.484085
41,117.59335
42,119.73509
43,117.456436
44,112.87305
45,104.06811
46,97.27452
47,88.0132
48,74.99324
49,64.17369
50,61.924377
51,60.434612
52,50.71039
53,47.307076
54,52.816273
55,43.61363
108,18.476692
109,18.251762
110,17.12384
111,16.269753
112,18.35608
113,21.64856
114,23.200256
115,19.210167
116,14.069336
117,12.087326
118,11.45491
119,11.624428
120,12.155785
121,11.966713
122,12.21772
123,12.797981
124,13.423882
125,13.66185
126,12.400276
127,11.5527115
128,11.2593155
129,11.432091
130,12.325302
131,13.365204
132,14.672417
133,15.950287
134,18.672287
135,18.968933
136,18.766823
137,18.724442
138,18.8255
139,17.697586
140,16.233894
141,16.09372
142,16.876091
143,16.19152
144,15.327652
145,15.878571
146,15.849228
147,15.422188
148,15.242889
149,15.718834
150,16.083939
151,16.178474
152,17.00975
153,17.404419
154,18.107094
155,17.823112
156,18.048836
157,17.739372
158,17.054901
159,16.603447
160,16.268494
161,16.636215
162,16.47966
163,18.75151
164,21.030647
165,23.258804
166,25.45784
167,27.973625
168,32.018543
169,36.751568
170,43.13023
171,46.789223
172,41.484592
173,42.871735
174,43.800137
175,40.2977
176,37.836525
177,34.487
178,25.221191
179,25.821922
180,35.59744
181,34.781902
182,27.416588
183,25.654442
184,28.796448
185,28.020958
186,28.6763
187,29.666595
188,30.420238
189,32.455437
190,28.6763
191,27.00882
192,28.352272
