,0
0,7.5153275
1,7.9894485
2,7.341957
3,6.156662
4,7.6002426
5,7.501175
6,8.088516
7,9.984985
8,12.175125
9,16.905678
10,11.927452
11,8.644012
12,4.7732315
13,4.5927887
14,4.8581467
15,6.758156
16,6.5812454
17,5.2791977
18,5.11644
19,4.698929
20,4.401726
21,4.185898
22,3.389801
23,3.5207138
24,3.1279755
25,3.173973
26,3.0359802
27,3.142128
28,3.9028397
29,4.5255585
30,4.670624
31,5.473793
32,5.6860886
33,5.9868317
34,5.530403
35,5.2332
36,5.197815
37,5.3287277
38,5.388878
39,4.702469
40,4.518486
41,4.054985
42,3.775467
43,3.6268616
44,3.6233215
45,3.5242538
46,3.4039536
47,3.0324478
48,2.8095398
49,2.8024673
50,2.8519974
52,2.5300217
53,2.5052567
66,3.198738
67,3.3048859
68,3.2128906
69,3.2871933
70,3.3190384
71,3.4888687
72,3.145668
73,3.113823
95,5.7957687
96,5.912529
97,6.0399017
98,6.184967
99,6.4468
100,6.5281754
101,6.6166306
102,7.225197
103,7.1155167
104,6.818306
105,6.598938
106,6.188507
107,5.802849
108,5.643631
109,5.4914856
110,5.4631805
111,5.473793
112,5.367653
113,5.367653
114,5.4950256
115,5.6294785
116,5.5693283
117,5.732086
118,6.0611343
119,6.075287
120,6.167282
121,6.630783
122,7.0872116
123,7.816078
124,8.024826
125,7.720543
126,8.152206
127,8.467102
128,8.62986
129,8.983681
130,9.687775
131,9.507332
132,9.496712
133,9.1605835
134,8.85276
135,8.116821
136,8.003601
137,8.049599
138,7.780693
139,7.717003
140,7.59671
141,7.58963
142,7.441025
143,6.9244537
144,6.9987564
145,7.2711945
146,7.4339523
147,7.4374924
148,7.313652
149,7.1367416
150,6.790001
151,6.7156982
152,6.903221
153,7.0801315
154,6.5812454
155,5.9939117
156,5.725006
157,5.664856
158,5.756851
159,5.7639236
160,5.721466
161,5.480873
162,5.0315247
163,4.7130814
164,4.5857086
165,4.511406
166,4.1186676
167,4.0372925
168,4.051445
169,4.047905
170,3.9629898
171,3.8179245
172,3.5136414
173,3.3827286
174,3.3225784
175,3.2871933
176,3.2553482
177,3.2270432
178,3.2128906
179,3.1881256
180,3.198738
181,3.149208
182,3.1669006
183,3.1527405
184,3.149208
185,3.113823
186,3.0289078
187,2.9439926
188,2.86615
189,2.8626099
190,2.841385
191,2.9899902
192,3.0112152
193,2.8873825
194,2.7493896
195,2.6326294
196,2.5406342
197,2.4769516
198,2.4451065
199,2.377884
200,2.2894287
201,2.2257385
