,0
0,
1,
2,
3,
4,279.114
5,280.43823
6,282.0437
7,284.20386
8,284.20386
9,284.20386
10,283.5642
11,282.1023
12,278.67944
13,276.86792
14,276.72632
15,275.31128
16,275.31128
17,275.31128
18,275.31128
19,275.31128
20,275.0681
21,279.6023
22,279.47632
23,279.41675
24,280.66772
25,285.24
26,284.6648
27,284.37085
28,283.1521
29,282.23218
30,281.50366
31,281.57495
32,281.40503
33,281.18726
34,281.16382
35,281.4773
36,281.7478
37,282.1775
38,282.79175
39,282.84937
40,282.74292
41,282.4392
42,282.4392
43,282.4392
44,282.4392
