,0
0,1.621783e-05
1,2.5762745e-05
2,2.5919564e-05
3,3.3152213e-05
4,3.5015026e-05
5,3.278864e-05
6,3.291661e-05
7,3.7552287e-05
8,4.0013758e-05
9,4.4873967e-05
10,5.672041e-05
11,6.3594496e-05
12,5.1214593e-05
13,5.045106e-05
14,4.6081193e-05
15,4.2573516e-05
16,3.982851e-05
17,4.1269337e-05
18,4.3834454e-05
19,4.435853e-05
20,4.8128313e-05
21,4.8824415e-05
22,4.5169338e-05
23,4.23438e-05
39,5.2645686e-05
40,5.1753206e-05
41,4.9095026e-05
42,5.142783e-05
43,5.206877e-05
44,5.7211706e-05
45,5.8726826e-05
46,5.9282866e-05
