,0
0,3.2553214e-06
1,3.431311e-06
2,3.3992692e-06
3,3.5814612e-06
4,3.0344077e-06
5,2.1925232e-06
6,1.8159443e-06
7,1.2977891e-06
8,1.1935311e-06
9,1.7281952e-06
10,1.358341e-06
11,1.6126025e-06
12,1.6088284e-06
13,2.9440873e-06
14,2.1531237e-06
15,1.9099489e-06
16,1.8417962e-06
17,1.5233519e-06
18,1.9608672e-06
19,2.6714783e-06
20,4.318016e-06
21,7.4578e-06
22,1.20528275e-05
23,1.2747275e-05
24,1.1037179e-05
25,9.512377e-06
26,7.5852467e-06
27,5.5796545e-06
28,3.395115e-06
29,1.3364263e-06
30,5.001615e-07
31,1.3616915e-07
32,1.4388784e-08
33,2.6785145e-09
34,2.5810207e-09
35,1.0344822e-09
36,5.029698e-10
37,5.029698e-10
38,8.4120494e-10
39,2.1305394e-10
40,1.1641532e-10
41,1.1641532e-10
42,1.1641532e-10
43,1.1641532e-10
44,1.1641532e-10
45,1.1641532e-10
46,1.1641532e-10
47,1.1641532e-10
48,1.1641532e-10
49,1.1641532e-10
