,0
0,86957.516
1,86212.95
2,85616.51
3,85153.53
4,84920.31
5,86090.766
6,89270.96
7,90514.805
8,91198.69
9,91993.55
10,93162.15
11,93910.086
12,94534.914
13,95367.23
14,96100.56
15,96750.75
16,97083.48
17,97409.82
18,97735.89
19,97969.47
20,98298.73
21,98436.0
22,98513.586
23,98574.48
24,98611.16
25,98665.016
26,98727.32
27,98765.37
28,98665.64
29,98597.35
30,98547.32
31,98306.88
32,97949.375
33,97879.98
34,97900.73
35,97736.56
36,97661.516
37,97725.77
38,97663.12
39,97939.69
40,98086.84
41,98200.54
42,98462.87
43,98751.09
44,98932.13
45,99079.914
46,99002.24
47,98829.555
48,98662.11
49,98697.555
50,98753.79
51,98873.76
52,99258.8
53,99510.36
54,99638.7
55,99691.65
56,99744.18
57,99766.9
58,99622.945
59,99325.69
60,99154.07
61,99077.64
62,99152.67
63,99295.54
64,99267.43
65,99161.52
66,99080.8
67,98958.195
68,98835.0
69,98762.61
70,98614.59
71,98519.48
72,98432.45
73,98374.96
74,98295.57
75,98235.414
76,98058.76
77,98058.734
78,98009.875
79,97954.7
80,97824.05
81,97729.23
82,97637.945
83,97620.44
84,97629.836
85,97622.9
86,97626.67
87,97640.67
88,97715.2
89,97728.13
90,97713.29
91,97731.6
92,97686.39
134,95186.45
135,95232.016
136,95263.484
137,95360.18
138,95431.34
139,95491.805
140,95606.49
141,95672.63
142,95768.79
143,95844.43
144,95941.984
145,96060.49
146,96172.99
147,96240.164
148,96326.27
149,96380.33
150,96449.91
151,96545.37
152,96598.77
153,96654.78
154,96709.0
155,96752.29
156,96776.18
157,96790.08
158,96819.46
159,96801.805
160,96789.19
161,96806.37
162,96760.41
163,96635.54
164,96608.1
165,96622.89
