,0
0,192780.0
1,309173.0
2,460725.0
3,867068.0
4,761069.0
5,671904.0
6,611528.0
7,632438.0
8,679233.0
9,845509.0
10,855446.0
11,923991.0
12,1060045.0
13,468276.0
14,642340.0
15,681521.0
16,732219.0
17,962233.0
18,920189.0
19,796687.0
20,804619.0
21,760340.0
22,968731.0
23,1102672.0
24,1117585.0
25,1094861.0
26,1027002.0
27,1118954.0
28,1443890.0
29,1312792.0
30,1559170.0
31,1564486.0
32,1522119.0
33,1199416.0
34,1216547.0
35,1160865.0
36,965739.0
37,1104277.0
38,1178096.0
39,1174632.0
40,1165401.0
41,1118643.0
42,1055894.0
43,972161.0
44,848723.0
45,846354.0
46,761282.0
47,639188.0
48,636837.0
49,604978.0
50,482780.0
51,307064.0
52,368602.0
53,408625.0
54,476241.0
55,508617.0
56,585922.0
57,534954.0
