,0
0,-292666.16
1,-250360.86
2,-242892.31
3,-219674.0
4,-208892.62
5,-199654.34
6,-192065.66
7,-185629.56
8,-190954.84
9,-192026.72
10,-202952.77
11,-220227.33
12,-213670.98
13,-207454.34
14,-187339.38
15,-174804.92
16,-165616.34
17,-168894.22
18,-157915.8
19,-151867.69
20,-148073.45
21,-144752.05
22,-144080.58
23,-146227.19
24,-146066.83
25,-140979.98
26,-132428.98
27,-132673.78
28,-130905.01
29,-121385.34
30,-124934.69
31,-130568.56
32,-131066.8
33,-131611.48
34,-140991.2
35,-140732.6
36,-139461.6
37,-128998.24
38,-127416.89
39,-129615.28
40,-141400.55
41,-145765.75
42,-151390.44
43,-156205.14
44,-137450.75
45,-127843.91
46,-126709.86
47,-121622.72
48,-107068.75
49,-87940.125
50,-81264.31
51,-84944.03
52,-74719.43
53,-76381.56
54,-69555.805
55,-84127.836
56,-99938.79
57,-126533.35
58,-158068.78
59,-185312.2
60,-216509.02
61,-229819.16
62,-248377.53
63,-257284.67
64,-259934.3
65,-247400.25
66,-235967.27
67,-216427.36
