,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,1.7229468e-06
9,8.6054206e-07
10,8.6054206e-07
11,8.6054206e-07
12,8.6054206e-07
13,1.7229468e-06
14,8.6054206e-07
15,8.6054206e-07
16,3.4457073e-05
17,3.962405e-05
18,3.704056e-05
19,4.22094e-05
20,1.4644116e-05
21,4.479289e-05
22,2.9288232e-05
23,3.2734126e-05
24,3.0148774e-05
25,6.029941e-05
26,2.4979934e-05
27,1.37817115e-05
28,1.7227605e-05
29,2.325885e-05
30,1.809001e-05
31,1.0337681e-05
32,5.1688403e-06
33,5.1688403e-06
34,7.752329e-06
35,1.2058765e-05
36,8.614734e-06
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,2.5834888e-06
46,2.5834888e-06
47,3.4458935e-06
