,0
0,0.059415817
1,0.073305845
2,0.056329012
3,0.047068834
4,0.051698923
5,0.047068834
6,0.058386803
7,0.0861671
8,0.053242207
9,0.06404567
10,0.05478573
11,0.04809785
12,0.049126625
13,0.046554327
14,0.049641132
15,0.0635314
16,0.055299997
17,0.053756714
18,0.056329012
19,0.07279134
20,0.08256602
21,0.06970477
22,0.06764698
23,0.07176256
24,0.07484937
25,0.062502384
26,0.0609591
27,0.06404567
28,0.07639265
29,0.0661037
30,0.05890131
31,0.06970477
32,0.06558919
33,0.058386803
34,0.07433486
35,0.07279134
36,0.05427122
37,0.06713247
38,0.07690716
39,0.07896495
40,0.09388399
41,0.059930086
42,0.048612118
43,0.053756714
44,0.056329012
45,0.0635314
46,0.066617966
47,0.06713247
48,0.095427275
49,0.09645629
50,0.10725975
