,0
0,-2.1594143
1,-1.7113268
2,-0.859395
3,-0.50956774
4,-0.66904783
5,-0.5491805
6,-0.7775972
7,-0.73129654
8,-0.7066028
9,-0.5887933
10,-0.63406515
11,-0.715863
12,-0.66904783
13,-0.5815911
14,-0.6505275
15,-0.6062846
16,-0.9031234
17,-1.0373952
18,-1.4577022
19,-0.805892
20,-0.69579935
21,-0.63869524
22,-0.4642961
23,-0.5774753
24,-0.65515757
25,-0.63457966
26,-0.66390324
27,-0.63457966
28,-0.59342337
29,-0.8300712
30,-1.06106
31,-0.9792621
32,-1.1011872
33,-1.4628468
34,-1.7169858
35,-1.6938355
36,-1.7051535
37,-1.5924885
38,-1.9361422
39,-1.8924139
40,-1.9706105
41,-1.8790381
42,-2.2324662
43,-2.139865
44,-2.530334
45,-2.6882706
46,-2.525704
47,-2.3116918
48,-2.2978017
49,-2.1110559
50,-2.2623045
100,-0.6968281
101,-0.6685333
102,-0.5594697
103,-0.5208857
104,-0.41490865
105,-0.6515565
106,-0.54403615
107,-0.6206894
108,-0.5183134
109,-0.6170883
110,-0.6438396
111,-0.57181644
112,-0.3737526
113,-0.42056775
114,-0.3145907
115,-0.37735367
116,-0.4077065
117,-0.36140585
118,-0.35934782
119,-0.2554288
120,-0.39535952
121,-0.28218007
122,-0.32745194
123,-0.35163116
124,-0.3063593
125,-0.31561947
126,-0.35471797
127,-0.41079307
128,-0.32333636
129,-0.3670647
