,0
0,0.023603441
1,0.028300785
2,0.038355067
3,0.04604234
4,0.051096033
5,0.056189045
6,0.06434004
7,0.07431642
8,0.084882565
9,0.09918032
10,0.11094058
11,0.11253167
12,0.12144891
13,0.12942976
14,0.14459118
15,0.14757118
16,0.15080456
17,0.14430475
18,0.13539849
19,0.12395827
20,0.12977381
21,0.13436787
22,0.13678564
23,0.12331458
24,0.120011814
25,0.11375231
26,0.12112558
27,0.11226906
28,0.11097362
29,0.119305536
30,0.12979747
31,0.13507529
32,0.13178334
33,0.119343646
34,0.10335807
35,0.09746048
36,0.08990928
37,0.10282074
38,0.09604212
39,0.088616244
40,0.08155944
41,0.07763291
42,0.080385
43,0.07090131
44,0.063024156
45,0.059470855
46,0.06307926
47,0.062488053
48,0.07290133
49,0.06828579
50,0.05964313
51,0.055433597
52,0.049159992
53,0.040535685
54,0.047760222
55,0.056270614
56,0.050407194
57,0.044865426
58,0.045391746
59,0.040508684
60,0.043069106
61,0.044229526
62,0.04711296
63,0.046809524
64,0.0510257
65,0.056645513
66,0.05860339
67,0.060554445
68,0.06125524
69,0.059702568
70,0.060763024
71,0.058342203
72,0.050392363
73,0.047632426
74,0.049978755
75,0.044668738
76,0.044617403
77,0.041792337
78,0.040497653
79,0.040318426
80,0.04283584
81,0.04179269
82,0.04758683
83,0.052358646
84,0.0458805
85,0.047657814
86,0.05357366
87,0.044892572
88,0.041474964
89,0.040729467
90,0.043856967
91,0.045956537
92,0.048693225
93,0.049949013
94,0.049817424
95,0.049356215
96,0.045715872
97,0.03853701
98,0.03508018
99,0.033951454
100,0.033913843
101,0.033294078
102,0.030382767
103,0.030352158
104,0.027604016
105,0.028451787
106,0.031217668
107,0.032398347
108,0.03502125
109,0.04156132
110,0.044017628
111,0.044530835
112,0.04379912
113,0.041616797
114,0.04199852
115,0.040148865
116,0.03823781
117,0.037041243
118,0.04226686
119,0.04242375
120,0.039611798
121,0.036455374
122,0.03552975
123,0.031977993
124,0.02791331
125,0.02880786
126,0.029076105
127,0.026511172
128,0.027710661
129,0.030979628
130,0.03348181
131,0.03228103
132,0.030976262
133,0.027142592
