,0
0,-0.017454047
1,-0.014738113
2,-0.01303251
3,0.00472054
4,-0.038964856
5,-0.0034661004
6,0.010743677
7,-0.027415343
8,-0.023335181
9,-0.025276436
10,-0.025532357
11,-0.028715692
12,-0.009637269
13,-0.016705677
14,-0.007181152
15,-0.006888528
16,-0.0046326607
17,-0.016440257
18,-0.02666999
19,-0.016365603
20,-0.03125381
21,-0.008377053
22,-0.024049018
23,-0.010649754
24,-0.032005627
25,0.005962189
26,-0.023360215
27,0.0014362182
28,0.012646069
29,-0.032073386
30,-0.008740866
31,-0.040171977
32,-0.03220501
33,-0.026351929
34,-0.035836764
35,-0.021246765
36,-0.017459664
37,-0.02997332
38,-0.02880891
39,-0.03278938
40,-0.050980467
41,-0.04149089
42,-0.055648874
