,0
0,284.46808
1,284.0033
2,280.8227
3,279.72922
4,280.83896
5,284.6944
6,285.34854
7,284.90372
8,283.71014
9,283.28265
10,283.43427
11,282.9676
12,282.90826
13,282.7049
14,282.78854
15,282.0343
16,280.42447
17,279.59967
18,278.27124
19,278.49576
20,278.45468
21,278.40027
22,278.4161
23,277.5061
24,276.88727
25,277.19006
26,277.56464
27,276.07352
28,275.7747
29,275.8589
30,276.11713
31,275.76694
32,275.4273
33,275.726
34,275.78723
35,276.29297
36,275.8283
37,274.71384
38,274.31686
39,274.2449
40,274.08984
41,273.53336
42,272.8849
43,273.05154
44,272.81863
45,273.00967
46,272.9277
47,272.7688
48,272.91495
49,272.8641
50,272.41174
51,272.54773
52,270.7481
53,270.0843
54,270.18475
55,269.37488
56,269.25897
57,269.36285
58,268.70728
59,267.7576
