,0
0,289.6525
1,279.7957
2,278.88568
3,279.71826
4,277.44452
5,284.1787
6,294.00403
7,297.19846
8,291.77957
9,286.28052
10,285.35724
11,284.05792
12,282.02045
13,286.15845
14,291.04803
15,291.2803
16,285.94592
17,283.53397
18,283.94403
19,282.7206
20,280.59808
21,281.20627
22,280.78198
23,279.71655
24,276.589
25,274.02652
26,272.7061
27,272.73148
28,273.23788
29,279.17923
30,280.25168
31,279.57254
32,279.05157
33,279.00394
34,280.16083
35,281.65103
36,283.44922
37,284.3118
38,284.8027
39,284.97748
40,284.80103
41,284.59683
42,284.43442
43,284.30563
44,284.1632
45,283.67505
46,282.98587
47,282.3515
48,282.3582
49,282.04623
50,281.8586
51,281.77505
52,281.49814
53,281.16278
54,280.9868
55,280.69547
56,280.63943
57,280.40805
58,280.40375
59,280.23627
60,279.80756
61,279.70474
62,279.6591
63,279.06406
64,278.7745
65,277.52707
66,277.9714
67,278.51285
68,278.05984
69,277.58063
70,276.8626
71,275.97073
72,274.93668
73,273.9662
74,273.10175
75,272.3733
76,271.21518
77,269.72717
78,269.32663
79,270.00183
80,271.56467
81,272.11703
82,272.13882
83,272.12
84,271.5988
85,271.21997
86,270.0859
87,269.44418
88,268.88376
89,268.38965
90,269.0741
91,269.5038
92,269.2746
93,267.99988
94,266.28702
