,0
0,
1,
2,
3,
4,
5,
6,
7,28.429688
8,28.169922
9,27.128906
10,28.950195
11,28.69043
12,28.169922
13,28.169922
14,27.649414
15,27.649414
16,27.388672
17,29.20996
18,
19,
20,28.950195
21,
22,28.950195
23,29.20996
24,29.20996
25,29.20996
26,29.20996
27,29.20996
28,29.20996
29,29.20996
30,29.730469
31,29.730469
32,29.730469
33,210.85352
34,219.70215
35,205.38867
36,53.41211
37,30.250977
38,
39,
40,
41,29.99121
42,28.429688
43,28.69043
44,
45,
46,
47,29.20996
48,29.20996
49,
50,28.950195
51,28.950195
52,28.950195
53,
54,28.950195
55,28.950195
56,28.950195
57,32.59375
58,28.950195
59,28.69043
60,28.69043
61,28.418945
62,28.418945
63,28.418945
64,28.691406
65,28.963867
66,28.963867
67,28.963867
68,28.963867
69,28.963867
70,28.963867
71,28.963867
72,28.963867
73,28.963867
74,28.146484
75,27.873047
76,27.600586
77,27.873047
78,27.600586
79,
