,0
0,400.25
1,545.75
2,516.5
3,497.875
4,521.5
5,383.625
6,578.5
7,853.375
8,507.75
9,524.625
10,525.875
11,439.0
12,587.125
13,282.0
14,327.625
15,363.75
16,406.625
17,283.25
18,167.875
19,688.75
20,840.25
21,649.625
22,585.625
23,480.75
24,377.75
25,501.0
26,618.625
27,702.125
28,698.5
29,522.875
30,427.75
31,316.0
32,268.5
33,307.125
34,199.25
35,325.5
36,171.75
37,132.0
38,113.25
39,109.0
40,133.5
41,129.0
42,99.25
43,136.375
44,279.875
45,281.625
46,106.25
47,53.875
48,27.75
49,30.25
50,41.875
51,51.625
52,50.5
53,44.375
54,34.5
55,30.25
56,33.625
57,39.125
58,41.375
59,43.75
60,47.375
61,34.375
62,40.5
63,51.75
64,48.25
65,44.625
66,37.625
67,24.0
68,25.0
69,40.0
70,42.5
71,21.75
72,19.75
73,43.125
74,42.5
75,31.5
