,0
0,19.528008
1,14.855257
2,24.137512
3,16.918848
4,16.90335
5,10.870982
6,17.208103
7,15.033173
8,14.251837
9,16.837236
10,24.592056
11,70.85296
12,95.021
13,77.91736
14,60.27066
15,53.988636
16,37.85365
17,6.473485
18,4.357438
19,3.7454085
20,7.9221764
21,11.132116
22,10.881428
23,13.678604
24,21.0163
25,29.445133
26,27.80326
27,30.389692
28,35.078857
29,32.042816
30,28.274908
31,11.069329
32,9.076331
33,10.739899
34,14.969008
35,7.8469925
36,6.6060605
37,5.9955235
38,5.242654
39,7.417011
40,5.6668963
41,4.817034
42,9.172979
43,8.633953
44,10.160009
45,4.915978
46,5.54775
47,6.9986224
48,5.4958677
49,4.850436
50,6.0011477
51,5.0546374
52,5.2403584
53,5.2529845
54,2.7917814
55,4.57174
56,2.8218548
57,4.935147
58,3.4529386
