,0
0,1.4951311e-05
1,1.8078472e-05
2,3.255081e-05
3,3.5049447e-06
4,1.5200804e-05
5,7.118681e-06
6,5.852807e-06
7,4.605632e-06
8,5.235276e-06
9,1.7244389e-05
10,1.7120568e-05
11,1.1068076e-05
12,2.1784683e-05
13,7.789296e-05
14,0.000115918556
15,0.00015774515
16,0.00016344753
17,0.00024945676
18,0.00025279232
19,0.00019900613
20,0.0001604779
21,0.00018338989
22,0.0002749216
23,0.00020207901
24,0.0001464326
25,0.00015943096
26,0.00011492767
27,0.00010916022
28,7.943834e-05
29,5.3985666e-05
30,5.8732756e-05
31,3.858543e-05
32,7.2905044e-05
33,7.526637e-05
34,2.4586214e-05
35,1.7368218e-05
36,2.1047299e-05
37,2.4281668e-05
