,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,2.8536797e-05
8,2.5280613e-05
9,2.259141e-06
10,1.8220562e-05
11,4.1935764e-06
12,5.0835024e-06
13,2.5833383e-06
14,9.27653e-07
15,1.35825685e-05
16,4.7035563e-05
17,5.061135e-05
18,5.167833e-05
19,1.561419e-05
20,2.6424227e-06
21,9.402157e-06
22,0.0
23,8.648558e-06
24,2.3627847e-05
25,4.3825163e-05
26,2.8106993e-05
27,9.64491e-05
28,3.6291676e-05
29,2.2177159e-05
30,3.614673e-05
31,2.7501303e-05
32,2.2134368e-06
33,5.309245e-05
34,1.9300562e-05
35,3.9431175e-06
36,6.1286555e-06
37,8.070773e-06
38,1.6565258e-05
39,1.8325709e-05
40,1.3722109e-05
41,1.5257024e-05
42,2.22332e-05
