,0
0,20.108963
1,17.81211
2,20.169445
3,16.226868
4,20.361347
5,18.51625
6,17.962198
7,17.921877
8,16.872017
9,19.468294
10,20.002186
11,21.800987
12,18.964272
13,18.357204
14,19.227856
15,20.113443
16,18.328829
17,21.86371
18,25.61812
19,26.57315
20,23.590828
21,25.251492
22,27.747711
23,28.103142
24,30.650137
25,28.817734
26,29.697346
27,30.924923
28,33.517467
29,33.09558
30,34.28134
31,34.468018
32,33.271805
33,36.905994
34,36.876873
35,36.3497
36,36.342983
37,35.86659
38,31.176561
39,29.317276
40,22.993467
41,22.962852
42,20.748138
43,20.527863
44,19.258472
45,18.128714
46,18.157835
47,18.323603
48,16.485226
49,17.897236
50,18.334803
51,15.809461
52,15.175512
53,13.373723
54,13.09819
55,12.581473
