,0
0,1.6497765
1,2.0141659
2,0.8448334
3,2.0298462
4,1.9969921
5,4.4775314
6,3.0162373
7,0.8769398
8,2.4718933
9,2.060461
10,2.6279545
11,2.1791859
12,2.1747055
13,1.6691895
14,1.8909607
15,0.98819923
16,1.1890621
17,1.4474201
18,1.7625275
19,1.5310497
20,2.258337
21,2.7541466
22,2.8004417
23,2.648861
24,5.1062527
25,7.1298122
26,10.122588
27,10.944706
28,5.940317
29,5.528139
30,3.0685062
31,1.9073868
32,1.656496
33,0.43788147
34,1.3204803
35,2.376316
36,1.2025013
37,1.6714306
38,2.2441502
39,4.846401
40,5.272768
41,3.692749
42,2.104517
43,2.3703423
44,1.6893501
45,2.1918812
46,2.0417938
47,1.3966446
48,1.5952663
49,1.8289833
50,1.623642
51,2.1246777
52,2.2359352
53,2.9609814
54,2.7466793
55,2.4330654
