,0
0,7.474256
1,9.196699
2,8.632202
3,8.252536
4,8.411314
5,9.475054
6,11.034217
7,11.989592
8,14.284374
9,16.592283
10,17.845425
11,18.654964
12,17.24347
13,18.517084
14,17.183725
15,17.801886
16,18.804913
17,18.248446
18,14.017481
19,9.022838
20,7.231121
21,5.030928
22,4.45945
23,4.9691715
24,4.802119
25,3.5322268
26,3.2089298
27,3.7020183
28,3.6833491
29,3.296023
30,3.6554844
31,5.286329
32,5.313231
33,4.230748
34,3.574483
35,2.707925
36,2.853646
37,1.8134928
38,1.9076093
39,1.8348999
40,1.9222887
