,0
0,0.00044622915
1,0.00044794197
2,0.00046896827
3,0.0004908407
4,0.00033082368
5,0.00020358499
6,0.00014964695
7,0.00012898352
8,0.0002243005
9,0.00023387172
10,0.00021725638
11,0.00030269803
12,0.0004749757
13,0.0005638396
14,0.0007071538
15,0.00080110936
16,0.000529802
17,0.0005409143
18,0.00046815997
19,0.00045746577
20,0.00046324817
21,0.0004012015
22,0.00021404674
23,0.00018946131
24,0.00013512596
25,0.00013923441
26,0.000103898536
27,0.00011753992
28,2.3611548e-05
29,1.1045076e-05
30,1.989803e-05
31,1.44654705e-05
32,7.30542e-06
33,3.7858634e-05
34,8.742352e-06
35,5.077486e-06
36,4.206799e-07
37,5.0562803e-06
38,4.5463505e-05
39,1.4411028e-05
40,3.0415501e-06
41,0.0
42,6.0158745e-06
43,2.9753612e-05
44,3.396986e-05
45,8.1030645e-05
46,8.832243e-05
