,0
0,0.0002677897
1,0.00059901574
2,0.0010903536
3,0.0011642065
4,0.001537333
5,0.0013800301
6,0.0015464623
7,0.0014569259
8,0.00077879056
9,0.00072436663
10,0.0007499985
11,0.00047705905
12,0.00029892265
13,0.00046816398
14,0.00081039174
15,0.0006746242
16,0.001551846
17,0.0030715058
18,0.0018478427
19,0.0023616524
20,0.0028771008
21,0.0028304015
22,0.0018824869
23,0.0013412894
24,0.0016107177
25,0.001277619
26,0.0010958544
27,0.0009090572
28,0.00066631427
29,0.0005757245
30,0.0004362117
31,0.00065343967
32,0.00060627214
33,0.0005790016
34,0.0005154484
35,0.00059632375
36,0.00042836997
37,0.0003168299
