,0
0,-10.068271
1,-8.9092
2,-8.792881
3,-8.891817
4,-9.452747
5,-7.445271
6,-9.677344
7,-12.073091
8,-7.4811525
9,-9.396464
10,-6.664206
11,-3.8156579
12,-1.4135246
13,-0.6081423
14,0.98903364
15,-0.6384365
16,2.1854043
17,2.0562298
18,3.3578522
19,-6.608279
20,-19.390982
21,-19.711857
22,-15.654704
23,-18.668083
24,-24.619577
25,-25.742931
26,-32.015003
27,-31.831942
28,-35.37596
29,-41.968525
30,-44.660847
31,-32.855556
32,-30.885746
33,-30.95354
34,-37.566906
35,-30.760595
36,-33.620163
37,-39.78072
38,-43.314465
39,-46.67805
40,-47.638264
41,-45.126858
42,-53.912712
43,-52.34571
44,-61.048912
45,-62.490395
46,-34.92764
47,-43.014076
48,-36.90548
49,-40.704445
50,-31.121155
51,-22.7122
52,-27.038532
53,-25.293488
54,-17.217176
55,-15.933443
56,-11.846343
57,-4.148974
58,-0.7851643
59,-14.968768
60,-15.706167
61,-9.192913
62,-8.345337
63,-12.837937
64,-11.9219055
65,-16.461697
66,-20.546467
67,-23.99773
68,-29.892813
69,-29.581102
70,-29.46847
71,-29.547564
72,-28.114985
73,-33.089905
74,-39.8298
75,-46.342953
76,-47.916916
77,-53.397583
78,-47.996067
79,-59.94898
80,-54.928337
81,-53.255802
82,-49.638466
83,-47.849426
84,-45.90587
85,-46.22098
86,-41.864098
87,-41.11369
88,-53.90123
89,-55.278336
90,-54.55937
91,-62.73096
92,-60.43205
93,-66.53236
94,-64.110634
95,-64.24265
96,-58.746456
97,-53.407784
98,-52.86343
99,-52.11634
100,-56.95072
