,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,2.5536865e-06
17,0.0
18,2.8098002e-06
19,2.6813708e-05
20,7.664785e-07
21,2.561137e-07
22,0.0
23,0.0
24,0.0
25,2.561137e-07
26,0.0
27,0.0
28,5.107373e-06
29,1.0216609e-06
30,1.0216609e-06
31,2.2985041e-06
32,0.0
33,2.561137e-07
34,1.2768432e-06
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,5.112961e-07
46,6.64033e-06
47,2.561137e-07
48,1.7881393e-06
49,3.0649826e-06
50,1.0216609e-06
51,4.341826e-06
52,7.664785e-07
53,0.0
54,0.0
55,0.0
56,1.2768432e-06
57,3.0649826e-06
58,4.8521906e-06
59,1.0216609e-06
60,2.561137e-07
61,2.561137e-07
