,0
0,-0.00051649474
1,-0.00078843907
2,-0.00083831884
3,-0.00083080307
4,-0.0005868729
5,-0.00061625335
6,-0.0006729653
7,-0.0009572087
8,-0.0013740081
9,-0.00123257
10,-0.0008813655
11,-0.0010146042
12,-0.0019233637
13,-0.0020490866
14,-0.003188111
15,-0.00307127
16,-0.0028232401
17,-0.007823466
18,-0.006686493
19,-0.0024843346
20,-0.005672508
21,-0.0031061172
22,-0.0034484398
23,-0.003166929
24,-0.0030063586
25,-0.002672919
26,-0.0011287117
27,-0.0011403272
28,-0.0012797164
29,-0.0011375947
30,-0.0012674173
31,-0.0013562432
32,-0.0014628349
33,-0.0011683423
34,-0.0009852238
35,-0.0011567259
36,-0.0011539934
37,-0.0007734075
38,-0.0007146457
39,-0.00083353557
40,-0.0014081728
41,-0.0003935052
42,-0.0004795976
43,-0.0003347434
44,-0.00048848055
45,-0.00048233103
46,-0.00052264426
47,-0.0005499758
48,-0.00043313485
49,-0.0003586579
50,-0.00041605346
51,-0.00039145537
52,-0.00023703463
53,-0.00019125454
54,-0.00012839306
55,-0.00010106247
56,-0.00017827284
57,-0.0001277104
58,-9.764545e-05
59,-9.3545765e-05
60,-7.919688e-05
61,-8.329656e-05
