,0
0,83.11252
1,89.08206
2,88.6308
3,91.50877
4,94.44897
5,96.38859
6,97.549286
7,98.71339
8,97.66147
9,95.65824
10,92.1769
11,89.79868
12,91.114296
13,91.92482
14,89.91476
15,85.88896
16,87.07121
17,94.986626
18,95.78742
19,90.76054
20,87.09671
21,83.96578
22,80.29438
23,78.96573
24,79.31115
25,78.489586
26,83.04482
27,83.796646
28,83.43548
29,83.19614
30,82.838196
31,84.60567
32,85.42753
33,87.04934
34,83.80491
35,84.515854
36,86.19598
37,86.54285
38,91.358154
39,94.431175
40,94.2992
41,91.69071
42,91.65772
43,91.68944
44,94.16631
45,96.46861
46,95.45968
47,95.914986
48,96.84191
49,97.58654
50,96.65317
51,97.320564
52,97.14701
53,97.592155
54,96.956795
55,96.213554
56,97.110596
57,97.89796
58,98.03269
59,97.96241
60,98.133
61,97.699425
62,97.60394
63,96.987625
64,97.00918
65,100.312485
66,104.01059
67,105.414085
68,104.18872
69,104.76215
70,106.73346
71,104.500175
72,102.39146
73,101.45102
74,101.06755
75,99.682625
76,99.72975
77,99.1293
78,100.39345
79,83.827095
