,0
0,37.323174
1,82.188614
2,71.42644
3,60.798977
4,67.65459
5,75.72257
6,76.4835
7,81.788124
8,72.62426
9,78.20559
10,69.24925
11,59.408195
12,60.099945
13,70.00289
14,72.91188
15,74.96165
16,81.413124
17,65.46283
18,67.516235
19,64.95312
20,61.155777
21,57.595085
22,54.697018
23,53.903324
24,57.57688
25,54.15818
26,52.192154
27,55.184883
28,67.920364
29,67.08298
30,61.115726
31,55.05017
32,54.7225
33,58.54533
34,65.86331
35,67.88396
36,67.6473
37,70.73105
38,73.589066
39,72.63154
40,62.06597
41,61.934906
42,58.392418
43,53.79046
44,52.396038
45,50.062294
46,53.801384
47,59.8815
48,62.593887
49,59.37543
50,69.36939
51,77.52112
52,80.88157
53,82.9823
54,83.90707
55,79.65098
56,73.08664
57,72.80266
58,73.71285
59,80.255356
60,80.81967
61,77.913574
62,79.1023
63,66.967514
64,63.269928
65,67.68564
66,72.82558
67,74.961624
68,75.19386
69,71.78048
70,71.936325
71,72.52
72,67.6948
73,67.03474
74,67.05919
75,67.780365
76,65.36319
77,70.81789
78,73.90124
79,74.582695
