,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,7.891301e-09
12,2.6171813e-07
13,8.9447997e-07
14,3.3387198e-06
15,3.4984141e-06
16,8.533413e-06
17,1.8076292e-06
18,0.0
19,0.0
20,9.199185e-08
21,2.3281411e-06
22,1.0403389e-05
23,2.2626124e-05
24,3.8404705e-05
25,5.060071e-05
26,4.2924374e-05
27,3.201771e-05
28,4.436249e-05
29,4.25375e-05
30,3.6006353e-05
31,3.887322e-05
32,3.7000726e-05
33,3.650328e-05
34,2.6438318e-05
35,1.36449935e-05
36,1.1661263e-05
37,1.2804455e-05
38,1.0413023e-05
39,1.7617755e-05
40,9.870394e-06
41,1.033696e-05
42,7.1931013e-06
43,1.0205026e-05
44,6.923901e-06
45,2.6463465e-06
46,1.6317006e-05
47,7.633905e-06
48,4.745051e-06
49,2.5577378e-06
50,1.9784184e-06
51,5.477563e-07
52,4.885859e-07
53,1.5972346e-07
54,2.286339e-07
55,1.3002698e-07
56,1.601811e-08
57,0.0
58,2.0648423e-08
