,0
0,3.355076e-06
1,6.7608958e-06
2,1.7965884e-06
3,4.4906847e-06
4,8.397466e-06
5,1.2023488e-05
6,2.2080316e-05
7,2.0516907e-05
8,1.1193282e-05
9,2.6282312e-05
10,3.0178857e-05
11,3.6099274e-05
12,2.022495e-05
13,1.2199818e-05
14,5.0505096e-06
15,4.9258088e-06
16,7.3213746e-06
17,2.6767232e-06
18,2.4871872e-06
19,2.8284217e-06
20,5.690226e-06
21,4.001869e-06
22,1.7494226e-06
23,4.0993032e-07
24,1.9064745e-09
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
