,0
0,0.00041140988
1,0.0008978322
2,0.00074099377
3,0.00079781935
4,0.00074667484
5,0.00062279776
6,0.00027843937
7,0.00039209053
8,0.0003534481
9,0.0011046715
10,0.001533132
11,0.0009126067
12,0.001150135
13,0.0008739643
14,0.0025571175
15,0.002601441
16,0.002761688
17,0.0031878762
18,0.004107304
19,0.004459616
20,0.0054915585
21,0.00694173
22,0.006439397
23,0.0068439897
24,0.0073281396
25,0.0075338446
26,0.0067439787
27,0.0037754439
28,0.0042766407
29,0.0049846806
30,0.0044880286
31,0.0035924688
32,0.001882039
33,0.0015854128
34,0.0012831017
35,0.0015717745
36,0.0009989776
37,0.0007591769
38,0.000712581
39,0.00086373463
40,0.0003102608
