,0
0,3.914626e-05
1,4.0292412e-05
2,3.366927e-05
3,2.7730352e-05
4,3.0207839e-05
5,3.533752e-05
6,3.1861007e-05
7,2.8773684e-05
8,3.0859603e-05
9,2.3235023e-05
10,2.4450826e-05
11,2.8659779e-05
12,2.1213189e-05
13,2.1679092e-05
14,2.899048e-05
15,3.2538184e-05
16,0.00010872119
17,0.000112184214
18,9.300539e-05
19,9.6442345e-05
20,7.236789e-05
21,6.6277134e-05
22,0.00012385957
23,0.00023940332
24,0.0004507567
25,0.00042912256
26,0.00045058658
27,0.0004968932
28,0.00042381088
29,0.0004674747
30,0.0011383414
31,0.0014319828
32,0.0013270197
33,0.0009831119
34,0.0006803643
35,0.00057386485
36,0.00058620155
37,0.00047936366
38,0.0004634746
39,0.00051022647
40,0.000807751
41,0.00093418616
42,0.0008271411
43,0.000969445
44,0.00057247665
45,0.00056750595
46,0.0003579134
47,0.0003060871
48,0.0002033617
49,0.00022443423
50,0.00022102024
51,0.00018769177
52,0.0001837818
53,0.0001890349
54,0.00018454986
55,0.0001790895
56,0.00018154716
57,0.00015234863
58,0.00010362945
59,9.856697e-05
60,6.513804e-05
