,0
0,0.5507605
1,0.45483565
2,0.6012471
3,0.4805839
4,0.62901473
5,0.8385341
6,1.367634
7,1.3161376
8,0.98545
9,1.3211863
10,1.0016062
11,0.85014606
12,0.9733336
13,0.944051
14,0.582567
15,0.58711076
16,0.5113809
17,0.62447095
18,0.61386895
19,0.8556998
20,0.98292613
21,0.9899943
22,0.78148437
23,0.46291375
24,0.52299285
25,0.7027252
26,0.93950725
27,0.9006326
28,0.78602815
29,0.33720207
30,0.8077376
31,0.7870376
32,0.7441242
33,0.80874705
34,0.7476585
35,0.696162
36,0.63305354
37,0.5179441
38,0.6300242
39,0.6269953
40,0.54823613
41,0.5421779
42,0.85670924
43,0.18473244
44,0.18069339
45,0.12566304
