,0
0,-0.008271217
1,-0.006746292
2,-0.0072546005
3,-0.0072546005
4,-0.008151054
5,-0.0069332123
6,-0.0075416565
7,-0.008151054
8,-0.009976387
9,-0.0069332123
10,-0.008759499
11,-0.006324768
12,-0.009367943
13,-0.010584831
14,-0.01362896
15,-0.009367943
16,-0.012411118
17,-0.017280579
18,-0.025801659
19,-0.020932198
20,-0.020323753
21,-0.025801659
22,-0.034931183
23,-0.026410103
24,-0.030062675
25,-0.020323753
26,-0.019106865
27,-0.016062737
28,-0.023975372
29,-0.020932198
30,-0.022758484
31,-0.018497467
32,-0.014845848
33,-0.012411118
34,-0.017889023
35,-0.019106865
36,-0.01362896
37,-0.019106865
38,-0.015454292
39,-0.009367943
40,-0.016062737
41,-0.019106865
42,-0.011802673
43,-0.009976387
44,-0.012411118
