,0
0,0.26311207
1,0.22836247
2,0.23214824
3,0.2279066
4,0.21826337
5,0.25119942
6,0.30904225
7,0.37382916
8,0.35468394
9,0.42243278
10,0.36793506
11,0.3472342
12,0.38333327
13,0.3736272
14,0.30487728
15,0.29461113
16,0.23252584
17,0.21082714
18,0.25359118
19,0.2784771
20,0.28222898
21,0.313965
22,0.4515679
23,0.51344764
24,0.4957244
25,0.30654547
26,0.18409856
27,0.12603758
28,0.10362514
29,0.07757582
30,0.06952106
31,0.06122307
32,0.06871021
33,0.09059921
34,0.086552225
35,0.099866495
36,0.11906498
37,0.11438145
38,0.06746417
39,0.051326897
40,0.055509046
41,0.061675
42,0.05602609
43,0.044317387
44,0.041606233
45,0.04482112
46,0.038518563
47,0.026108164
48,0.035834823
49,0.045924325
50,0.03979155
