,0
4,18.12944
5,18.571396
6,17.538727
7,20.644623
8,18.64476
9,17.83281
10,18.896637
11,16.516678
12,12.222275
13,17.102386
14,16.697525
15,15.094666
16,13.647202
17,11.826721
18,10.938232
19,10.787338
20,11.333359
21,11.492416
22,11.439301
23,10.910416
24,9.820557
25,9.837631
26,10.03511
27,4.1379547
28,3.65065
29,2.8109436
30,2.8778381
31,2.9942474
32,3.8072968
33,4.682602
34,6.6311646
35,5.9904175
36,9.078049
37,10.373077
38,10.673996
39,7.852371
40,10.127182
