,0
37,-15.112484
38,-17.716934
39,-12.015984
40,-8.029392
41,-1.4258194
42,-2.0495071
43,-0.993309
44,1.0031204
45,-0.059345245
46,-0.3915596
47,4.460045
48,0.99684906
49,1.6926231
50,2.4636154
51,2.9494019
52,6.2339516
53,10.298897
54,6.1587334
55,8.528122
56,11.3927
57,7.3089523
58,5.3031197
59,4.262596
60,3.8144188
61,6.2757416
62,6.0519066
63,7.2997856
64,6.477192
65,5.618225
66,4.857189
67,6.5611305
68,8.480515
69,8.782692
70,7.380924
71,7.722275
72,4.8935623
73,3.1952133
74,1.8326187
