,0
12,0.00022927548
13,0.0002303817
14,0.00018625859
15,0.00015005081
16,0.000103003455
17,8.287524e-05
18,9.2563445e-05
19,5.2052328e-05
20,4.660075e-05
21,6.823369e-05
22,3.419703e-05
23,3.8858932e-05
24,4.120766e-05
25,5.5950786e-05
26,3.852957e-05
27,2.918364e-05
28,3.461705e-05
29,2.8920056e-05
30,4.0179228e-05
31,3.5171295e-05
32,3.880693e-05
33,1.4753046e-05
34,1.4434952e-05
35,1.7815313e-05
36,2.1818207e-05
37,2.0115052e-05
38,1.7740207e-05
39,1.7289363e-05
40,1.1404454e-05
41,1.3116408e-05
