,0
46,-4.656613e-10
47,-4.656613e-10
48,-4.656613e-10
49,-4.656613e-10
50,-4.656613e-10
51,-9.313226e-10
52,-9.313226e-10
53,-9.313226e-10
54,-9.313226e-10
55,-9.313226e-10
56,-9.313226e-10
57,7.459894e-07
58,-9.313226e-10
59,-9.313226e-10
60,2.4866313e-07
61,-9.313226e-10
62,7.459894e-07
63,-9.313226e-10
64,-9.313226e-10
65,-9.313226e-10
66,-9.313226e-10
67,-9.313226e-10
68,1.7415732e-06
69,2.9858202e-06
70,4.9760565e-06
71,1.2433156e-06
72,9.946525e-07
73,-9.313226e-10
74,-9.313226e-10
75,-9.313226e-10
